id	prompt	answer	rule	lesson	tags
g0416	ուտել → we were eating	Մենք ուտում էինք	past-of-to-be	18	imperfect
g0417	ուտել → I wasn't eating	Ես չէի ուտում	past-of-to-be	18	imperfect,negation
g0418	Yesterday I was glad.	Երեկ ես ուրախ էի։	past-of-to-be	18	past
g0419	the day before yesterday	երեկ չէ առաջին օրը	past-of-to-be	18	time
g0420	last week	անցյալ շաբաթ	past-of-to-be	18	time
g0421	last month	անցյալ ամիս	past-of-to-be	18	time
g0422	before / after our class	մեր դասից առաջ / հետո	ablative	19	ablative,postposition
g0423	ten degrees below zero	տասն աստիճան զրոյից ցածր	ablative	19	ablative,weather
g0424	ամպեր → (look at) the clouds	ամպերին	dative	19	dative,plural
g0425	It is going to rain.	Անձրև է գալու։	future-u	19	future,weather
g0426	in spring (season + article)	գարնանը	genitive	19	genitive,time
g0427	nothing	ոչինչ / ոչ մի բան	negation	19	negation
g0428	I was doing nothing.	Ես ոչինչ չէի անում։	negation	19	negation
g0429	We were drinking coffee.	Մենք սուրճ էինք խմում։	past-of-to-be	19	imperfect,word-order
g0430	I was at home all day.	Ես տանն էի ողջ օրը։	past-of-to-be	19	past
g0431	մնալ → we stayed (We missed the sun)	Արևին կարոտ մնացինք։	past-simple	19	aorist
g0432	կանաչել → the trees have turned green	Ծառերը կանաչել են։	perfect	19	perfect
g0433	before / after our class	մեր դասից առաջ / հետո	postpositions	19	postposition,ablative
g0434	We were drinking coffee. (neutral order)	Մենք խմում էինք սուրճ։	word-order	19	word-order
g0435	We were drinking coffee. (object in focus)	Մենք սուրճ էինք խմում։	word-order	19	word-order
g0436	in two weeks	երկու շաբաթից	ablative	20	ablative,time
g0437	In how many days?	Քանի՞ օրից։	ablative	20	ablative,time,question
g0438	that's why (поэтому)	դրա համար	conjunctions	20	conjunction,phrase
g0439	then, after	հետո	conjunctions	20	conjunction
g0440	նախաճաշ → for breakfast	նախաճաշին	dative	20	dative,food
g0441	When are we going to have breakfast?	Ե՞րբ ենք նախաճաշելու։	future-u	20	future,question
g0442	կաթ → with milk	կաթով	instrumental	20	instrumental,food
g0443	without milk	առանց կաթի	instrumental	20	genitive,food
g0444	for two weeks (stay)	երկու շաբաթով	instrumental	20	instrumental,time
g0445	For how many days?	Քանի՞ օրով։	instrumental	20	instrumental,time,question
g0446	վճարել → I paid	Վճարեցի	past-simple	20	aorist
g0447	անցնել → How did it go?	Ո՞նց անցավ։	past-simple	20	aorist,phrase
g0448	without milk	առանց կաթի	postpositions	20	preposition,genitive
g0449	բրինձ → with rice	բրնձով	instrumental	21	instrumental,food
g0450	It is five to one.	Ժամը մեկից հինգ է պակաս։	ablative	22	ablative,time
g0451	so, that means	ուրեմն	conjunctions	22	conjunction
g0452	ժամը մեկ → at one o'clock	ժամը մեկին	dative	22	dative,time
g0453	Ժամը մեկ__ է (It is one o'clock)	ն	definite-article	22	article,time
g0454	ամիս → genitive (date: what day of the …)	ամսի	genitive	22	genitive,i
g0455	Մադրիդ → in Madrid	Մադրիդում	locative	22	locative,city
g0456	աշխատել → How many hours did you work?	Քանի՞ ժամ աշխատեցիր։	past-simple	22	aorist,question
g0457	լինել → I have been to Madrid	Ես եղել եմ Մադրիդում։	perfect	22	perfect
g0458	լինել → I have never been to Madrid	Ես երբեք չեմ եղել Մադրիդում։	perfect	22	perfect,negation
g0459	Have you ever been to Madrid?	Դու երբևէ եղե՞լ ես Մադրիդում։	perfect	22	perfect,question
g0460	ever (in questions)	երբևէ	perfect	22	adverb
g0461	until the Armenian lesson	մինչև հայերենի դասը	postpositions	22	preposition
g0462	What time is it?	Ժամը քանի՞սն է։	question-words	22	question,time
g0463	At what time?	Ժամը քանիսի՞ն։	question-words	22	question,time
g0464	What time is it?	Ժամը քանի՞սն է։	telling-time	22	time,question
g0465	It is one o'clock.	Ժամը մեկն է։	telling-time	22	time
g0466	It is two o'clock.	Ժամը երկուսն է։	telling-time	22	time
g0467	It is half past one.	Ժամը մեկ անց կես է։	telling-time	22	time
g0468	It is half past eight.	Ութն անց կես է։	telling-time	22	time
g0469	It is a quarter past one.	Մեկն անց քառորդ է։	telling-time	22	time
g0470	It is 1:05.	Մեկն անց հինգ է։	telling-time	22	time
g0471	It is five to one (12:55).	Մեկից հինգ է պակաս։	telling-time	22	time
g0472	At what time?	Ժամը քանիսի՞ն։	telling-time	22	time,question
g0473	at one	ժամը մեկին	telling-time	22	time,dative
g0474	at two	ժամը երկուսին	telling-time	22	time,dative
g0475	at half past one	ժամը մեկ անց կեսին	telling-time	22	time,dative
g0476	at a quarter past one	մեկն անց քառորդին	telling-time	22	time,dative
g0477	at 1:05	մեկն անց հինգին	telling-time	22	time,dative
g0478	at five to one	մեկից հինգ պակաս	telling-time	22	time
g0479	half an hour	կես ժամ	telling-time	22	time
g0480	exactly thirty minutes	ուղիղ երեսուն րոպե	telling-time	22	time
g0481	in an hour	մի ժամից	ablative	23	ablative,time
g0482	կարդալ → Read! (sg. / pl.)	Կարդա՛ / կարդացե՛ք	imperative	23	imperative,regular
g0483	խաղալ → Play! (sg.)	խաղա՛	imperative	23	imperative,regular
g0484	գրել → Write! (sg. / pl.)	գրի՛ր / գրե՛ք	imperative	23	imperative,regular
g0485	նստել → Sit! (sg.)	նստի՛ր	imperative	23	imperative,regular
g0486	փակել → Close! (sg.)	փակի՛ր	imperative	23	imperative,regular
g0487	գրել → Don't write! (sg.)	մի՛ գրիր	imperative	23	imperative,prohibitive
g0488	կարդալ → Don't read! (pl.)	մի՛ կարդացեք	imperative	23	imperative,prohibitive
g0489	Don't read! (one person)	Մի՛ կարդա	negation	23	negation,imperative
g0490	Don't write! (several people)	Մի՛ գրեք	negation	23	negation,imperative
g0491	in an hour	մի ժամից	telling-time	23	time,ablative
g0492	if	եթե	conjunctions	24	conjunction
g0493	հասկանալ → Understand! (sg. / pl.)	հասկացի՛ր / հասկացե՛ք	imperative	24	imperative,derivative
g0494	ծանոթանալ → Get acquainted! (sg.)	ծանոթացի՛ր	imperative	24	imperative,derivative
g0495	իմանալ → Know! (sg.)	իմացի՛ր	imperative	24	imperative,derivative
g0496	ձանձրանալ → Don't get bored! (sg.)	մի՛ ձանձրացիր	imperative	24	imperative,derivative,prohibitive
g0497	մոտենալ → Come closer! (sg.)	մոտեցի՛ր	imperative	24	imperative,derivative
g0498	What were you doing yesterday?	Ի՞նչ էիր անում երեկ։	past-of-to-be	24	imperfect,question
g0499	խմել → I drank	Ես խմեցի	past-simple	24	aorist
g0500	խմել → How many did you drink?	Քանի՞ հատ խմեցիր։	past-simple	24	aorist,question
g0501	to understand	հասկանալ	verbs-anal	24	verb,anal
g0502	to get acquainted	ծանոթանալ	verbs-anal	24	verb,anal
g0503	to get married	ամուսնանալ	verbs-anal	24	verb,anal
g0504	to know, to find out	իմանալ	verbs-anal	24	verb,anal
g0505	մեծ → to grow	մեծանալ	verbs-anal	24	verb,anal
g0506	փոքր → to get smaller	փոքրանալ	verbs-anal	24	verb,anal
g0507	հասկանալ → Understand! (sg.)	հասկացի՛ր	verbs-anal	24	imperative,derivative
g0508	մոտենալ → Come closer! (sg.)	մոտեցի՛ր	verbs-anal	24	imperative,derivative
g0509	գալ → Come! (sg. / pl.)	Արի՛ / Եկե՛ք	imperative	25	imperative,irregular
g0510	տալ → Give! (sg. / pl.)	Տո՛ւր / Տվե՛ք	imperative	25	imperative,irregular
g0511	ուտել → Eat! (sg. / pl.)	Կե՛ր / Կերե՛ք	imperative	25	imperative,irregular
g0512	ասել → Say! (sg. / pl.)	Ասա՛ / Ասե՛ք	imperative	25	imperative,irregular
g0513	անել → Do! (sg. / pl.)	Արա՛ / Արե՛ք	imperative	25	imperative,irregular
g0514	լինել → Be! (sg. / pl.)	Եղի՛ր / Եղե՛ք	imperative	25	imperative,irregular
g0515	դնել → Put! (sg. / pl.)	Դի՛ր / Դրե՛ք	imperative	25	imperative,irregular
g0516	տեսնել → See! (sg.)	Տե՛ս	imperative	25	imperative,irregular
g0517	առնել → Buy! / Take! (sg.)	Ա՛ռ	imperative	25	imperative,irregular
g0518	բերել → Bring! (sg.)	Բե՛ր	imperative	25	imperative,irregular
g0519	լվանալ → Wash! (sg. / pl.)	Լվա՛ / Լվացե՛ք	imperative	25	imperative,irregular
g0520	վերադառնալ → Come back! (sg.)	Վերադարձի՛ր	imperative	25	imperative,irregular
g0521	վեր կենալ → Get up! (sg.)	Վե՛ր կաց	imperative	25	imperative,irregular
g0522	be careful (sg.)	Զգո՛ւյշ եղիր	imperative	25	imperative,phrase
g0523	take care of yourself	Քեզ լավ նայիր	imperative	25	imperative,phrase
g0524	I can't stay.	Չեմ կարող մնալ։	can	26	modal,negation
g0525	Anything can happen.	Ամեն ինչ կարող է պատահել։	can	26	modal
g0526	to return something (give back)	վերադարձնել	causative	26	causative
g0527	Աննա → to Anna	Աննային	dative	26	dative
g0528	him / her — give ___ the money	նրան	dative	26	dative,pronoun
g0529	լինել → everything will be fine	ամեն ինչ լավ կլինի	future-k	26	future,irregular
g0530	վերադառնալ → you will come back	կվերադառնաս	future-k	26	future
g0531	I have to go to the meeting.	Ես պետք է գնամ հանդիպման։	future-piti	26	modal
g0532	հանգստանալ → Calm down! (sg.)	հանգստացի՛ր	imperative	26	imperative,derivative
g0533	բարկանալ → Don't be angry! (pl.)	մի՛ բարկացեք	imperative	26	imperative,derivative,prohibitive
g0534	խոստանալ → Promise! (sg.)	խոստացի՛ր	imperative	26	imperative,derivative
g0535	հիվանդանոց → in the hospital	հիվանդանոցում	locative	26	locative,city
g0536	հետևել → I have followed	հետևել եմ	perfect	26	perfect
g0537	ներել → I have forgiven	ներել եմ	perfect	26	perfect
g0538	next week	հաջորդ շաբաթ	dates	28	calendar
g0539	ուտել → I will eat	կուտեմ	future-k	28	future
g0540	ուտել → you (sg.) will eat	կուտես	future-k	28	future
g0541	ուտել → he/she will eat	կուտի	future-k	28	future
g0542	ուտել → we will eat	կուտենք	future-k	28	future
g0543	ուտել → you (pl.) will eat	կուտեք	future-k	28	future
g0544	ուտել → they will eat	կուտեն	future-k	28	future
g0545	ուտել → I won't eat	չեմ ուտի	future-k	28	future,negation
g0546	ուտել → he/she won't eat	չի ուտի	future-k	28	future,negation
g0547	գնալ → I will go	կգնամ	future-k	28	future
g0548	գնալ → you (sg.) will go	կգնաս	future-k	28	future
g0549	գնալ → he/she will go	կգնա	future-k	28	future
g0550	գնալ → we will go	կգնանք	future-k	28	future
g0551	գնալ → they will go	կգնան	future-k	28	future
g0552	գնալ → I won't go	չեմ գնա	future-k	28	future,negation
g0553	գնալ → they won't go	չեն գնա	future-k	28	future,negation
g0554	երգել → I will sing	կերգեմ	future-k	28	future
g0555	սիրել → he/she will love	կսիրի	future-k	28	future
g0556	սիրել → we won't love	չենք սիրի	future-k	28	future,negation
g0557	կարդալ → I am going to read	Ես կարդալու եմ	future-u	28	future
g0558	կարդալ → you (sg.) are going to read	Դու կարդալու ես	future-u	28	future
g0559	կարդալ → he/she is going to read	Նա կարդալու է	future-u	28	future
g0560	կարդալ → we are going to read	Մենք կարդալու ենք	future-u	28	future
g0561	կարդալ → they are going to read	Նրանք կարդալու են	future-u	28	future
g0562	կարդալ → I am not going to read	Ես չեմ կարդալու	future-u	28	future,negation
g0563	կարդալ → he/she is not going to read	Նա չի կարդալու	future-u	28	future,negation
g0564	soon	շուտով	future-u	28	time
g0565	the day after tomorrow	վաղը չէ մյուս օրը	future-u	28	time
g0566	next week	հաջորդ շաբաթ	future-u	28	time
g0567	I won't eat	չեմ ուտի	negation	28	negation,future
g0568	I am not going to read	չեմ կարդալու	negation	28	negation,future
g0569	us — drink with ___	մեզ	dative	29	dative,pronoun
g0570	տալ → I will give (you the book tomorrow)	կտամ	future-k	29	future,irregular
g0571	գալ → I will come	կգամ	future-k	29	future,irregular
g0572	խմել → They won't drink with us.	Նրանք չեն խմի մեզ հետ։	future-k	29	future,negation
g0573	with us	մեզ հետ	postpositions	29	postposition,pronoun
g0574	to get bored	ձանձրանալ	verbs-anal	30	verb,anal
g0575	to promise	խոստանալ	verbs-anal	30	verb,anal
g0576	to be angry	բարկանալ	verbs-anal	30	verb,anal
g0577	to get sick	հիվանդանալ	verbs-anal	30	verb,anal
g0578	to get well, to recover	առողջանալ	verbs-anal	30	verb,anal
g0579	to steal	գողանալ	verbs-anal	30	verb,anal
g0580	to rise, to climb, to get on	բարձրանալ	verbs-anal	30	verb,anal
g0581	to be glad	ուրախանալ	verbs-anal	30	verb,anal
g0582	to be late	ուշանալ	verbs-anal	30	verb,anal
g0583	to be surprised	զարմանալ	verbs-anal	30	verb,anal
g0584	to have a rest, to calm down	հանգստանալ	verbs-anal	30	verb,anal
g0585	to come closer, to approach	մոտենալ	verbs-anal	30	verb,enal
g0586	հիշել → to remind	հիշեցնել	causative	33	causative
g0587	գնալ → I have to go	Ես պիտի գնամ	future-piti	33	modal
g0588	գնալ → you (sg.) have to go	Դու պիտի գնաս	future-piti	33	modal
g0589	գնալ → he/she has to go	Նա պիտի գնա	future-piti	33	modal
g0590	գնալ → we have to go	Մենք պիտի գնանք	future-piti	33	modal
g0591	գնալ → you (pl.) have to go	Դուք պետք է գնաք	future-piti	33	modal
g0592	գնալ → they have to go	Նրանք պետք է գնան	future-piti	33	modal
g0593	գնալ → I don't have to go (two ways)	Ես չպիտի գնամ / Ես պիտի չգնամ	future-piti	33	modal,negation
g0594	ուտել → I have to eat	Ես պիտի ուտեմ	future-piti	33	modal
g0595	ուտել → he/she has to eat	Նա պիտի ուտի	future-piti	33	modal
g0596	ուտել → we have to eat	Մենք պիտի ուտենք	future-piti	33	modal
g0597	ուտել → they have to eat	Նրանք պիտի ուտեն	future-piti	33	modal
g0598	ուտել → he/she doesn't have to eat	Նա չպիտի ուտի	future-piti	33	modal,negation
g0599	խմել → You should not drink much.	Դու չպետք է շատ խմես։	future-piti	33	modal,negation
g0600	մնալ → Your parents have to stay at home.	Քո ծնողները պետք է մնան տանը։	future-piti	33	modal
g0601	Everything is going to be fine.	Ամեն ինչ լավ է լինելու։	future-u	33	future
g0602	Իսպանիա → in Spain	Իսպանիայում	locative	33	locative,countries
g0603	Կորեա → in Korea	Կորեայում	locative	33	locative,countries
g0604	Ճապոնիա → in Japan	Ճապոնիայում	locative	33	locative,countries
g0605	I don't have to go	չպիտի գնամ / պիտի չգնամ	negation	33	negation
g0606	there was	կար	there-is	33	there-is,past
g0607	there were	կային	there-is	33	there-is,past
g0608	համերգ → to a concert (գնալ)	համերգի	dative	34	dative
g0609	A good friend should…	Լավ ընկերը պետք է…	future-piti	34	modal
g0610	գործընկերներ → (call) my colleagues	գործընկերներին	dative	35	dative,plural
g0611	աշխատել → I have to work (spoken)	Ես պետք ա աշխատեմ	future-piti	35	modal,spoken
g0612	զանգել → I have to call my colleagues	Պետք ա զանգեմ իմ գործընկերներին։	future-piti	35	modal,spoken
g0613	I have never been to Syunik.	Ես երբեք չեմ եղել Սյունիքում։	perfect	35	perfect,negation
g0614	No idea.	Գաղափար չունեմ։	to-have-and-to-know	35	have,phrase
g0615	հեշտ → antonym	դժվար	adjectives-comparison	36	adjective,antonym
g0616	գարուն → genitive	գարնան	genitive	36	genitive,an
g0617	ամառ → genitive	ամռան	genitive	36	genitive,an
g0618	աշուն → genitive	աշնան	genitive	36	genitive,an
g0619	ձմեռ → genitive	ձմռան	genitive	36	genitive,an
g0620	հանդիպում → genitive	հանդիպման	genitive	36	genitive,an
g0621	հաջողություն → genitive	հաջողության	genitive	36	genitive,an
g0622	առողջություն → genitive	առողջության	genitive	36	genitive,an
g0623	դուռ → genitive	դռան	genitive	36	genitive,an
g0624	մուկ → genitive	մկան	genitive	36	genitive,an
g0625	շաբաթ → genitive (of the week)	շաբաթվա	genitive	36	genitive,va
g0626	տարի → genitive	տարվա	genitive	36	genitive,va
g0627	երեկ → genitive (yesterday's)	երեկվա	genitive	36	genitive,va
g0628	այսօր → genitive (today's)	այսօրվա	genitive	36	genitive,va
g0629	during the week	շաբաթվա ընթացքում	postpositions	36	postposition,time
g0630	սեպտեմբեր → in September	սեպտեմբերին	dative	37	dative,time
g0631	What are you going to do after our class?	Ի՞նչ ես անելու մեր դասից հետո։	future-u	37	future,question
g0632	two of my friends	իմ ընկերներից երկուսը	ablative	38	ablative
g0633	too, also / (any) more (particle)	էլ	conjunctions	38	particle
g0634	անել → I will do	կանեմ	future-k	38	future
g0635	անել → I won't do	չեմ անի	future-k	38	future,negation
g0636	անել → they will do	կանեն	future-k	38	future
g0637	ընկեր → genitive	ընկերոջ	genitive	38	genitive,oj
g0638	քույր → genitive	քրոջ	genitive	38	genitive,oj
g0639	կին → genitive	կնոջ	genitive	38	genitive,oj
g0640	մայր → genitive	մոր	genitive	38	genitive,o
g0641	հայր → genitive	հոր	genitive	38	genitive,o
g0642	եղբայր → genitive	եղբոր	genitive	38	genitive,o
g0643	մարդ → genitive	մարդու	genitive	38	genitive,u
g0644	որդի → genitive	որդու	genitive	38	genitive,u
g0645	գրել → genitive (of writing)	գրելու	genitive	38	genitive,u,infinitive
g0646	in a word (короче)	մի խոսքով	instrumental	38	instrumental,phrase
g0647	and (also written form; 'etc.' = ___ այլն)	և	conjunctions	39	conjunction
g0648	Ռուսաստան → nationality	ռուս	nationality-suffixes	39	countries
g0649	Վրաստան → nationality	վրացի	nationality-suffixes	39	countries
g0650	Վրաստան → language	վրացերեն	nationality-suffixes	39	languages
g0651	Ֆրանսիա → nationality	ֆրանսիացի	nationality-suffixes	39	countries
g0652	Ֆրանսիա → language	ֆրանսերեն	nationality-suffixes	39	languages
g0653	Ֆրանսիա → adjective	ֆրանսիական	nationality-suffixes	39	countries
g0654	Չինաստան → nationality	չինացի	nationality-suffixes	39	countries
g0655	Չինաստան → language	չինարեն	nationality-suffixes	39	languages
g0656	Ամերիկա (ԱՄՍ) → nationality	ամերիկացի	nationality-suffixes	39	countries
g0657	Ամերիկա (ԱՄՍ) → language	անգլերեն	nationality-suffixes	39	languages
g0658	Ամերիկա (ԱՄՍ) → adjective	ամերիկյան	nationality-suffixes	39	countries
g0659	Անգլիա → nationality	անգլիացի	nationality-suffixes	39	countries
g0660	Ճապոնիա → nationality	ճապոնացի	nationality-suffixes	39	countries
g0661	Ճապոնիա → language	ճապոներեն	nationality-suffixes	39	languages
g0662	Հնդկաստան → nationality	հնդիկ	nationality-suffixes	39	countries
g0663	Թուրքիա → nationality	թուրք	nationality-suffixes	39	countries
g0664	Իրան / Պարսկաստան → nationality	իրանցի / պարսիկ	nationality-suffixes	39	countries
g0665	Սիրիա → language	արաբերեն	nationality-suffixes	39	languages
g0666	Բրազիլիա → language	պորտուգալերեն	nationality-suffixes	39	languages
g0667	սպասել → to make someone wait	սպասեցնել	causative	40	causative
g0668	խոսել → to make someone talk	խոսեցնել	causative	40	causative
g0669	խմել → to make someone drink	խմեցնել	causative	40	causative
g0670	պատկեր → to imagine	պատկերացնել	causative	40	causative
g0671	աղջիկ → genitive	աղջկա	genitive	40	genitive,irregular
g0672	սեր → genitive	սիրո	genitive	40	genitive,irregular
g0673	մարդիկ → genitive	մարդկանց	genitive	40	genitive,irregular
g0674	կատու → genitive	կատվի	genitive	40	genitive,irregular
g0675	լեզու → genitive	լեզվի	genitive	40	genitive,irregular
g0676	Աննա → genitive	Աննայի	genitive	41	genitive,i
g0677	nowhere	ոչ մի տեղ	negation	41	negation
g0678	nobody	ոչ ոք	negation	41	negation
g0679	քայլել → She walked	Նա քայլեց	past-simple	41	aorist
g0680	հավաքվել → we have gathered	հավաքվել ենք	perfect	41	perfect
g0681	for (postposition)	համար	postpositions	41	postposition
g0682	about (postposition)	մասին	postpositions	41	postposition
g0683	with (postposition)	հետ	postpositions	41	postposition
g0684	on (postposition)	վրա	postpositions	41	postposition
g0685	under (postposition)	տակ	postpositions	41	postposition
g0686	near, at (postposition)	մոտ	postpositions	41	postposition
g0687	in, among (postposition)	մեջ	postpositions	41	postposition
g0688	around (postposition)	շուրջը	postpositions	41	postposition
g0689	between (postposition)	միջև	postpositions	41	postposition
g0690	above, upstairs	վերևում	postpositions	41	postposition
g0691	below, downstairs	ներքևում	postpositions	41	postposition
g0692	next to, beside	կողքին	postpositions	41	postposition
g0693	across from	դիմաց	postpositions	41	postposition
g0694	through	միջով	postpositions	41	postposition
g0695	for Anna	Աննայի համար	postpositions	41	postposition,genitive
g0696	on the table	սեղանի վրա	postpositions	41	postposition,genitive
g0697	through the park	այգու միջով	postpositions	41	postposition,genitive
g0698	There is nothing under the bed.	Մահճակալի տակ ոչինչ չկա։	there-is	41	there-is,negation
g0699	There are many people near the house.	Տան մոտ շատ մարդիկ կան։	there-is	41	there-is
